DPDP_Section,DPDP_Section_Name,DPDP_Rule,DPDP_Schedule,DPDP_Control,DPDP_Control_Description,GDPR_Control,GDPR_Control_Description,GDPR_Article,GDPR_Principle,OPP_Category,Relationship_Path,Mapping_Type,Confidence
Section 4,Grounds for processing personal data.,Rule 14.0,,DPDP-31,"Organizations must ensure that any transfer of personal data outside the territory of India complies strictly with the conditions prescribed under DPDPA 2023. Personal data may only be transferred to jurisdictions approved by the Central Government, which will maintain a whitelist of permissible countries. Transfers must be undertaken with appropriate safeguards to ensure that the data remains subject to a level of protection comparable to DPDPA standards. Organizations must evaluate legal, regulatory, and contractual mechanisms to protect transferred data, such as entering into binding contractual clauses, conducting data protection impact assessments, and ensuring that data subjects’ rights are preserved in cross-border contexts. Data Principals must be informed about the possibility of cross-border transfers, and explicit consent must be obtained if required. Any transfer-related risks must be documented, and transfer agreements should mandate breach notifications, cooperation obligations, and compliance with grievance redressal mechanisms.",GDPR-14,The organization implements appropriate data protection policies by the controller.,Art.14,,"User Access, Edit and Deletion","Section 4 -> Rule 14.0 -> DPDP-31 -> GDPR-14 -> Art.14 -> User Access, Edit and Deletion",ARTICLE_MATCH,0.95
Section 4,Grounds for processing personal data.,Rule 14.0,,DPDP-31,"Organizations must ensure that any transfer of personal data outside the territory of India complies strictly with the conditions prescribed under DPDPA 2023. Personal data may only be transferred to jurisdictions approved by the Central Government, which will maintain a whitelist of permissible countries. Transfers must be undertaken with appropriate safeguards to ensure that the data remains subject to a level of protection comparable to DPDPA standards. Organizations must evaluate legal, regulatory, and contractual mechanisms to protect transferred data, such as entering into binding contractual clauses, conducting data protection impact assessments, and ensuring that data subjects’ rights are preserved in cross-border contexts. Data Principals must be informed about the possibility of cross-border transfers, and explicit consent must be obtained if required. Any transfer-related risks must be documented, and transfer agreements should mandate breach notifications, cooperation obligations, and compliance with grievance redressal mechanisms.",GDPR-14,The organization implements appropriate data protection policies by the controller.,Art.14,,Data Retention,Section 4 -> Rule 14.0 -> DPDP-31 -> GDPR-14 -> Art.14 -> Data Retention,ARTICLE_MATCH,0.95
Section 4,Grounds for processing personal data.,Rule 14.0,,DPDP-31,"Organizations must ensure that any transfer of personal data outside the territory of India complies strictly with the conditions prescribed under DPDPA 2023. Personal data may only be transferred to jurisdictions approved by the Central Government, which will maintain a whitelist of permissible countries. Transfers must be undertaken with appropriate safeguards to ensure that the data remains subject to a level of protection comparable to DPDPA standards. Organizations must evaluate legal, regulatory, and contractual mechanisms to protect transferred data, such as entering into binding contractual clauses, conducting data protection impact assessments, and ensuring that data subjects’ rights are preserved in cross-border contexts. Data Principals must be informed about the possibility of cross-border transfers, and explicit consent must be obtained if required. Any transfer-related risks must be documented, and transfer agreements should mandate breach notifications, cooperation obligations, and compliance with grievance redressal mechanisms.",GDPR-36,Data processing follows applicable compliance requirements.,Art.36,,Third Party Sharing/Collection,Section 4 -> Rule 14.0 -> DPDP-31 -> GDPR-36 -> Art.36 -> Third Party Sharing/Collection,ARTICLE_MATCH,0.95
Section 4,Grounds for processing personal data.,Rule 14.0,,DPDP-31,"Organizations must ensure that any transfer of personal data outside the territory of India complies strictly with the conditions prescribed under DPDPA 2023. Personal data may only be transferred to jurisdictions approved by the Central Government, which will maintain a whitelist of permissible countries. Transfers must be undertaken with appropriate safeguards to ensure that the data remains subject to a level of protection comparable to DPDPA standards. Organizations must evaluate legal, regulatory, and contractual mechanisms to protect transferred data, such as entering into binding contractual clauses, conducting data protection impact assessments, and ensuring that data subjects’ rights are preserved in cross-border contexts. Data Principals must be informed about the possibility of cross-border transfers, and explicit consent must be obtained if required. Any transfer-related risks must be documented, and transfer agreements should mandate breach notifications, cooperation obligations, and compliance with grievance redressal mechanisms.",GDPR-36,Data processing follows applicable compliance requirements.,Art.36,Art.5(1(f)): Integrity and Confidentiality,Policy Change,Section 4 -> Rule 14.0 -> DPDP-31 -> GDPR-36 -> Art.36 -> Policy Change,DIRECT_JURIX,1.0
Section 5,Notice.,Rule 3.0,,DPDP-03,"Data Fiduciaries shall implement appropriate technical and organizational measures to ensure and demonstrate that processing of personal data is carried out in accordance with the provisions of the Digital Personal Data Protection Act, 2023. Such measures shall be reviewed and updated periodically to maintain compliance and address emerging risks.",GDPR-02,The controller (fiduciary) shall inform the data subject (Principal) without delay of the reasons for not taking action on the data subject (principal)request.,,,UNMAPPED,Section 5 -> DPDP-03 -> GDPR-02 -> UNMAPPED,NONE,0.0
Section 5,Notice.,Rule 3.0,,DPDP-03,"Data Fiduciaries shall implement appropriate technical and organizational measures to ensure and demonstrate that processing of personal data is carried out in accordance with the provisions of the Digital Personal Data Protection Act, 2023. Such measures shall be reviewed and updated periodically to maintain compliance and address emerging risks.",GDPR-06,A Data Processing Agreement is utilized to communicate the principles of processing of personal data that the organization abides to.,Art.6,,Third Party Sharing/Collection,Section 5 -> Rule 3.0 -> DPDP-03 -> GDPR-06 -> Art.6 -> Third Party Sharing/Collection,ARTICLE_MATCH,0.95
Section 5,Notice.,Rule 3.0,,DPDP-03,"Data Fiduciaries shall implement appropriate technical and organizational measures to ensure and demonstrate that processing of personal data is carried out in accordance with the provisions of the Digital Personal Data Protection Act, 2023. Such measures shall be reviewed and updated periodically to maintain compliance and address emerging risks.",GDPR-06,A Data Processing Agreement is utilized to communicate the principles of processing of personal data that the organization abides to.,Art.6,,User Choice/Control,Section 5 -> Rule 3.0 -> DPDP-03 -> GDPR-06 -> Art.6 -> User Choice/Control,ARTICLE_MATCH,0.95
Section 5,Notice.,Rule 3.0,,DPDP-03,"Data Fiduciaries shall implement appropriate technical and organizational measures to ensure and demonstrate that processing of personal data is carried out in accordance with the provisions of the Digital Personal Data Protection Act, 2023. Such measures shall be reviewed and updated periodically to maintain compliance and address emerging risks.",GDPR-06,A Data Processing Agreement is utilized to communicate the principles of processing of personal data that the organization abides to.,Art.6,,"User Access, Edit and Deletion","Section 5 -> Rule 3.0 -> DPDP-03 -> GDPR-06 -> Art.6 -> User Access, Edit and Deletion",ARTICLE_MATCH,0.95
Section 5,Notice.,Rule 3.0,,DPDP-03,"Data Fiduciaries shall implement appropriate technical and organizational measures to ensure and demonstrate that processing of personal data is carried out in accordance with the provisions of the Digital Personal Data Protection Act, 2023. Such measures shall be reviewed and updated periodically to maintain compliance and address emerging risks.",GDPR-06,A Data Processing Agreement is utilized to communicate the principles of processing of personal data that the organization abides to.,Art.6,Art.5(1(f)): Integrity and Confidentiality,Policy Change,Section 5 -> Rule 3.0 -> DPDP-03 -> GDPR-06 -> Art.6 -> Policy Change,DIRECT_JURIX,1.0
Section 5,Notice.,Rule 3.0,,DPDP-03,"Data Fiduciaries shall implement appropriate technical and organizational measures to ensure and demonstrate that processing of personal data is carried out in accordance with the provisions of the Digital Personal Data Protection Act, 2023. Such measures shall be reviewed and updated periodically to maintain compliance and address emerging risks.",GDPR-14,The organization implements appropriate data protection policies by the controller.,Art.14,,"User Access, Edit and Deletion","Section 5 -> Rule 3.0 -> DPDP-03 -> GDPR-14 -> Art.14 -> User Access, Edit and Deletion",ARTICLE_MATCH,0.95
Section 5,Notice.,Rule 3.0,,DPDP-03,"Data Fiduciaries shall implement appropriate technical and organizational measures to ensure and demonstrate that processing of personal data is carried out in accordance with the provisions of the Digital Personal Data Protection Act, 2023. Such measures shall be reviewed and updated periodically to maintain compliance and address emerging risks.",GDPR-14,The organization implements appropriate data protection policies by the controller.,Art.14,,Data Retention,Section 5 -> Rule 3.0 -> DPDP-03 -> GDPR-14 -> Art.14 -> Data Retention,ARTICLE_MATCH,0.95
Section 5,Notice.,Rule 3.0,,DPDP-05,"The DPDP Policy shall clearly define the responsibilities and duties assigned to the Data Protection Officer, ensuring accountability in overseeing data protection obligations and supporting organizational compliance.",GDPR-02,The controller (fiduciary) shall inform the data subject (Principal) without delay of the reasons for not taking action on the data subject (principal)request.,,,UNMAPPED,Section 5 -> DPDP-05 -> GDPR-02 -> UNMAPPED,NONE,0.0
Section 5,Notice.,Rule 3.0,,DPDP-05,"The DPDP Policy shall clearly define the responsibilities and duties assigned to the Data Protection Officer, ensuring accountability in overseeing data protection obligations and supporting organizational compliance.",GDPR-06,A Data Processing Agreement is utilized to communicate the principles of processing of personal data that the organization abides to.,Art.6,,Third Party Sharing/Collection,Section 5 -> Rule 3.0 -> DPDP-05 -> GDPR-06 -> Art.6 -> Third Party Sharing/Collection,ARTICLE_MATCH,0.95
Section 5,Notice.,Rule 3.0,,DPDP-05,"The DPDP Policy shall clearly define the responsibilities and duties assigned to the Data Protection Officer, ensuring accountability in overseeing data protection obligations and supporting organizational compliance.",GDPR-06,A Data Processing Agreement is utilized to communicate the principles of processing of personal data that the organization abides to.,Art.6,,User Choice/Control,Section 5 -> Rule 3.0 -> DPDP-05 -> GDPR-06 -> Art.6 -> User Choice/Control,ARTICLE_MATCH,0.95
Section 5,Notice.,Rule 3.0,,DPDP-05,"The DPDP Policy shall clearly define the responsibilities and duties assigned to the Data Protection Officer, ensuring accountability in overseeing data protection obligations and supporting organizational compliance.",GDPR-06,A Data Processing Agreement is utilized to communicate the principles of processing of personal data that the organization abides to.,Art.6,,"User Access, Edit and Deletion","Section 5 -> Rule 3.0 -> DPDP-05 -> GDPR-06 -> Art.6 -> User Access, Edit and Deletion",ARTICLE_MATCH,0.95
Section 5,Notice.,Rule 3.0,,DPDP-05,"The DPDP Policy shall clearly define the responsibilities and duties assigned to the Data Protection Officer, ensuring accountability in overseeing data protection obligations and supporting organizational compliance.",GDPR-06,A Data Processing Agreement is utilized to communicate the principles of processing of personal data that the organization abides to.,Art.6,Art.5(1(f)): Integrity and Confidentiality,Policy Change,Section 5 -> Rule 3.0 -> DPDP-05 -> GDPR-06 -> Art.6 -> Policy Change,DIRECT_JURIX,1.0
Section 5,Notice.,Rule 3.0,,DPDP-05,"The DPDP Policy shall clearly define the responsibilities and duties assigned to the Data Protection Officer, ensuring accountability in overseeing data protection obligations and supporting organizational compliance.",GDPR-14,The organization implements appropriate data protection policies by the controller.,Art.14,,"User Access, Edit and Deletion","Section 5 -> Rule 3.0 -> DPDP-05 -> GDPR-14 -> Art.14 -> User Access, Edit and Deletion",ARTICLE_MATCH,0.95
Section 5,Notice.,Rule 3.0,,DPDP-05,"The DPDP Policy shall clearly define the responsibilities and duties assigned to the Data Protection Officer, ensuring accountability in overseeing data protection obligations and supporting organizational compliance.",GDPR-14,The organization implements appropriate data protection policies by the controller.,Art.14,,Data Retention,Section 5 -> Rule 3.0 -> DPDP-05 -> GDPR-14 -> Art.14 -> Data Retention,ARTICLE_MATCH,0.95
Section 6,Consent.,Rule 4.0,Schedule 1,DPDP-09,"The organization shall implement a Consent Management System (CMS) to ensure that the collection and processing of personal data complies with the principles established under the Digital Personal Data Protection Act (DPDPA). Consent obtained must be free, specific, informed, and revocable, and notices must be clear and transparent to Data Principals.",GDPR-06,A Data Processing Agreement is utilized to communicate the principles of processing of personal data that the organization abides to.,Art.6,,Third Party Sharing/Collection,Section 6 -> Rule 4.0 -> Schedule 1 -> DPDP-09 -> GDPR-06 -> Art.6 -> Third Party Sharing/Collection,ARTICLE_MATCH,0.95
Section 6,Consent.,Rule 4.0,Schedule 1,DPDP-09,"The organization shall implement a Consent Management System (CMS) to ensure that the collection and processing of personal data complies with the principles established under the Digital Personal Data Protection Act (DPDPA). Consent obtained must be free, specific, informed, and revocable, and notices must be clear and transparent to Data Principals.",GDPR-06,A Data Processing Agreement is utilized to communicate the principles of processing of personal data that the organization abides to.,Art.6,,User Choice/Control,Section 6 -> Rule 4.0 -> Schedule 1 -> DPDP-09 -> GDPR-06 -> Art.6 -> User Choice/Control,ARTICLE_MATCH,0.95
Section 6,Consent.,Rule 4.0,Schedule 1,DPDP-09,"The organization shall implement a Consent Management System (CMS) to ensure that the collection and processing of personal data complies with the principles established under the Digital Personal Data Protection Act (DPDPA). Consent obtained must be free, specific, informed, and revocable, and notices must be clear and transparent to Data Principals.",GDPR-06,A Data Processing Agreement is utilized to communicate the principles of processing of personal data that the organization abides to.,Art.6,,"User Access, Edit and Deletion","Section 6 -> Rule 4.0 -> Schedule 1 -> DPDP-09 -> GDPR-06 -> Art.6 -> User Access, Edit and Deletion",ARTICLE_MATCH,0.95
Section 6,Consent.,Rule 4.0,Schedule 1,DPDP-09,"The organization shall implement a Consent Management System (CMS) to ensure that the collection and processing of personal data complies with the principles established under the Digital Personal Data Protection Act (DPDPA). Consent obtained must be free, specific, informed, and revocable, and notices must be clear and transparent to Data Principals.",GDPR-06,A Data Processing Agreement is utilized to communicate the principles of processing of personal data that the organization abides to.,Art.6,Art.5(1(f)): Integrity and Confidentiality,Policy Change,Section 6 -> Rule 4.0 -> Schedule 1 -> DPDP-09 -> GDPR-06 -> Art.6 -> Policy Change,DIRECT_JURIX,1.0
Section 6,Consent.,Rule 4.0,Schedule 1,DPDP-09,"The organization shall implement a Consent Management System (CMS) to ensure that the collection and processing of personal data complies with the principles established under the Digital Personal Data Protection Act (DPDPA). Consent obtained must be free, specific, informed, and revocable, and notices must be clear and transparent to Data Principals.",GDPR-39,The data subject (principal) has the right to withdraw his or her consent at any time,Art.39,,Third Party Sharing/Collection,Section 6 -> Rule 4.0 -> Schedule 1 -> DPDP-09 -> GDPR-39 -> Art.39 -> Third Party Sharing/Collection,ARTICLE_MATCH,0.95
Section 6,Consent.,Rule 4.0,Schedule 1,DPDP-09,"The organization shall implement a Consent Management System (CMS) to ensure that the collection and processing of personal data complies with the principles established under the Digital Personal Data Protection Act (DPDPA). Consent obtained must be free, specific, informed, and revocable, and notices must be clear and transparent to Data Principals.",GDPR-39,The data subject (principal) has the right to withdraw his or her consent at any time,Art.39,,User Choice/Control,Section 6 -> Rule 4.0 -> Schedule 1 -> DPDP-09 -> GDPR-39 -> Art.39 -> User Choice/Control,ARTICLE_MATCH,0.95
Section 6,Consent.,Rule 4.0,Schedule 1,GDPR-14,The organization implements appropriate data protection policies by the controller.,GDPR-06,A Data Processing Agreement is utilized to communicate the principles of processing of personal data that the organization abides to.,Art.6,,Third Party Sharing/Collection,Section 6 -> Rule 4.0 -> Schedule 1 -> GDPR-14 -> GDPR-06 -> Art.6 -> Third Party Sharing/Collection,ARTICLE_MATCH,0.95
Section 6,Consent.,Rule 4.0,Schedule 1,GDPR-14,The organization implements appropriate data protection policies by the controller.,GDPR-06,A Data Processing Agreement is utilized to communicate the principles of processing of personal data that the organization abides to.,Art.6,,User Choice/Control,Section 6 -> Rule 4.0 -> Schedule 1 -> GDPR-14 -> GDPR-06 -> Art.6 -> User Choice/Control,ARTICLE_MATCH,0.95
Section 6,Consent.,Rule 4.0,Schedule 1,GDPR-14,The organization implements appropriate data protection policies by the controller.,GDPR-06,A Data Processing Agreement is utilized to communicate the principles of processing of personal data that the organization abides to.,Art.6,,"User Access, Edit and Deletion","Section 6 -> Rule 4.0 -> Schedule 1 -> GDPR-14 -> GDPR-06 -> Art.6 -> User Access, Edit and Deletion",ARTICLE_MATCH,0.95
Section 6,Consent.,Rule 4.0,Schedule 1,GDPR-14,The organization implements appropriate data protection policies by the controller.,GDPR-06,A Data Processing Agreement is utilized to communicate the principles of processing of personal data that the organization abides to.,Art.6,Art.5(1(f)): Integrity and Confidentiality,Policy Change,Section 6 -> Rule 4.0 -> Schedule 1 -> GDPR-14 -> GDPR-06 -> Art.6 -> Policy Change,DIRECT_JURIX,1.0
Section 6,Consent.,Rule 4.0,Schedule 1,GDPR-14,The organization implements appropriate data protection policies by the controller.,GDPR-14,The organization implements appropriate data protection policies by the controller.,Art.14,,"User Access, Edit and Deletion","Section 6 -> Rule 4.0 -> Schedule 1 -> GDPR-14 -> GDPR-14 -> Art.14 -> User Access, Edit and Deletion",ARTICLE_MATCH,0.95
Section 6,Consent.,Rule 4.0,Schedule 1,GDPR-14,The organization implements appropriate data protection policies by the controller.,GDPR-14,The organization implements appropriate data protection policies by the controller.,Art.14,,Data Retention,Section 6 -> Rule 4.0 -> Schedule 1 -> GDPR-14 -> GDPR-14 -> Art.14 -> Data Retention,ARTICLE_MATCH,0.95
Section 7,Certain legitimate uses.,Rule 7.0,,DPDP-07,"The organization shall establish and maintain a policy that defines general terms under the Digital Personal Data Protection Act (DPDPA), specifically the role and responsibilities of a Data Fiduciary. The policy shall classify Data Fiduciaries into appropriate categories, including significant data fiduciaries, private entities, government bodies, and startups, to ensure all compliance requirements are properly applied.",GDPR-02,The controller (fiduciary) shall inform the data subject (Principal) without delay of the reasons for not taking action on the data subject (principal)request.,,,UNMAPPED,Section 7 -> DPDP-07 -> GDPR-02 -> UNMAPPED,NONE,0.0
Section 7,Certain legitimate uses.,Rule 7.0,,DPDP-07,"The organization shall establish and maintain a policy that defines general terms under the Digital Personal Data Protection Act (DPDPA), specifically the role and responsibilities of a Data Fiduciary. The policy shall classify Data Fiduciaries into appropriate categories, including significant data fiduciaries, private entities, government bodies, and startups, to ensure all compliance requirements are properly applied.",GDPR-06,A Data Processing Agreement is utilized to communicate the principles of processing of personal data that the organization abides to.,Art.6,,Third Party Sharing/Collection,Section 7 -> Rule 7.0 -> DPDP-07 -> GDPR-06 -> Art.6 -> Third Party Sharing/Collection,ARTICLE_MATCH,0.95
Section 7,Certain legitimate uses.,Rule 7.0,,DPDP-07,"The organization shall establish and maintain a policy that defines general terms under the Digital Personal Data Protection Act (DPDPA), specifically the role and responsibilities of a Data Fiduciary. The policy shall classify Data Fiduciaries into appropriate categories, including significant data fiduciaries, private entities, government bodies, and startups, to ensure all compliance requirements are properly applied.",GDPR-06,A Data Processing Agreement is utilized to communicate the principles of processing of personal data that the organization abides to.,Art.6,,User Choice/Control,Section 7 -> Rule 7.0 -> DPDP-07 -> GDPR-06 -> Art.6 -> User Choice/Control,ARTICLE_MATCH,0.95
Section 7,Certain legitimate uses.,Rule 7.0,,DPDP-07,"The organization shall establish and maintain a policy that defines general terms under the Digital Personal Data Protection Act (DPDPA), specifically the role and responsibilities of a Data Fiduciary. The policy shall classify Data Fiduciaries into appropriate categories, including significant data fiduciaries, private entities, government bodies, and startups, to ensure all compliance requirements are properly applied.",GDPR-06,A Data Processing Agreement is utilized to communicate the principles of processing of personal data that the organization abides to.,Art.6,,"User Access, Edit and Deletion","Section 7 -> Rule 7.0 -> DPDP-07 -> GDPR-06 -> Art.6 -> User Access, Edit and Deletion",ARTICLE_MATCH,0.95
Section 7,Certain legitimate uses.,Rule 7.0,,DPDP-07,"The organization shall establish and maintain a policy that defines general terms under the Digital Personal Data Protection Act (DPDPA), specifically the role and responsibilities of a Data Fiduciary. The policy shall classify Data Fiduciaries into appropriate categories, including significant data fiduciaries, private entities, government bodies, and startups, to ensure all compliance requirements are properly applied.",GDPR-06,A Data Processing Agreement is utilized to communicate the principles of processing of personal data that the organization abides to.,Art.6,Art.5(1(f)): Integrity and Confidentiality,Policy Change,Section 7 -> Rule 7.0 -> DPDP-07 -> GDPR-06 -> Art.6 -> Policy Change,DIRECT_JURIX,1.0
Section 7,Certain legitimate uses.,Rule 7.0,,DPDP-07,"The organization shall establish and maintain a policy that defines general terms under the Digital Personal Data Protection Act (DPDPA), specifically the role and responsibilities of a Data Fiduciary. The policy shall classify Data Fiduciaries into appropriate categories, including significant data fiduciaries, private entities, government bodies, and startups, to ensure all compliance requirements are properly applied.",GDPR-14,The organization implements appropriate data protection policies by the controller.,Art.14,,"User Access, Edit and Deletion","Section 7 -> Rule 7.0 -> DPDP-07 -> GDPR-14 -> Art.14 -> User Access, Edit and Deletion",ARTICLE_MATCH,0.95
Section 7,Certain legitimate uses.,Rule 7.0,,DPDP-07,"The organization shall establish and maintain a policy that defines general terms under the Digital Personal Data Protection Act (DPDPA), specifically the role and responsibilities of a Data Fiduciary. The policy shall classify Data Fiduciaries into appropriate categories, including significant data fiduciaries, private entities, government bodies, and startups, to ensure all compliance requirements are properly applied.",GDPR-14,The organization implements appropriate data protection policies by the controller.,Art.14,,Data Retention,Section 7 -> Rule 7.0 -> DPDP-07 -> GDPR-14 -> Art.14 -> Data Retention,ARTICLE_MATCH,0.95
Section 7,Certain legitimate uses.,Rule 7.0,,DPDP-18,"The organization shall establish and maintain a comprehensive breach notification process that ensures timely detection, assessment, and reporting of personal data breaches. Upon breach identification, an initial assessment must be completed within 24 hours. Qualifying breaches must be reported to the Data Protection Board within 72 hours, with notifications including the breach nature, data categories affected, number of impacted Data Principals, potential consequences, and remedial actions. When breaches are likely to cause significant harm, affected Data Principals must be notified within 7 days using clear language that explains the breach, its impact, protective recommendations, and organizational response measures. The organization shall maintain a detailed breach register documenting all incidents for five years. Third-party vendors must report breaches within 24 hours of discovery. To ensure readiness, quarterly staff training and biannual simulation exercises shall be conducted. Regular audits must verify control effectiveness and DPDPA compliance.",,,,,,Section 7 -> NO GDPR MAPPING,NONE,0.0
Section 7,Certain legitimate uses.,Rule 7.0,,GDPR-25,"In the case of a personal data breach, data controllers notify supervisory authorities within 72 hours.",GDPR-25,"In the case of a personal data breach, data controllers notify supervisory authorities within 72 hours.",Art.25,,Third Party Sharing/Collection,Section 7 -> Rule 7.0 -> GDPR-25 -> GDPR-25 -> Art.25 -> Third Party Sharing/Collection,ARTICLE_MATCH,0.95
Section 7,Certain legitimate uses.,Rule 7.0,,GDPR-25,"In the case of a personal data breach, data controllers notify supervisory authorities within 72 hours.",GDPR-25,"In the case of a personal data breach, data controllers notify supervisory authorities within 72 hours.",Art.25,,Data Retention,Section 7 -> Rule 7.0 -> GDPR-25 -> GDPR-25 -> Art.25 -> Data Retention,ARTICLE_MATCH,0.95
